Tweet Date,Posted By,Posted By Profile Pic,Posted By Profile URL,Posted By Twitter Handle,tweet_url,Content,tags,Comments,Media
"10:18 PM, Dec 06, 2023",RobertSkvarla,https://static.getdewey.co/upload/accbcf3705584a34b314111494c904f5.jpg,https://twitter.com/RobertSkvarla/,RobertSkvarla,https://twitter.com/RobertSkvarla/status/1732525048437657740,"He stole the idea from someone else, that's how. Bill Cooper did this exact same bit on Hour of the Time a full month before Jones, on June 28, 2001. https://t.co/kJ2bkGSaz3","idea_theft,new_tweet",,
"12:35 PM, Oct 12, 2023",Lowkey0nline,https://static.getdewey.co/upload/ad429062f83748da9839eedfa5c2f4a9.jpg,https://twitter.com/Lowkey0nline/,Lowkey0nline,https://twitter.com/Lowkey0nline/status/1712446982403342616,"Israel is paying YouTube to place adverts like this before videos aimed at children..

No words.... https://t.co/QK6qa1s3Vl","social_media, ai_and_technology, israel_palestine_conflict,new_tweet",",new_tweet",https://video.twimg.com/amplify_video/1712446921283936256/vid/avc1/318x270/yJAu9lUIeCzYIsnJ.mp4?tag=14
"07:23 PM, Sep 21, 2023",laanlabs,https://static.getdewey.co/upload/3a78261b9b7448e3880431fcfea1a81f.jpg,https://twitter.com/laanlabs/,laanlabs,https://twitter.com/laanlabs/status/1704939447521845398,Optimized my AR gaussian splat renderer for iOS a bit.. testing some larger scenes and even short animations... with a few glitches still to fix. https://t.co/A5NcLWcGGG,"augmented_reality, ai_and_technology,new_tweet",,https://video.twimg.com/ext_tw_video/1704938911573610496/pu/vid/avc1/480x270/JAeJhT_er8oeMRWV.mp4?tag=12
"05:04 PM, Aug 09, 2023",MuatafaGMI,https://static.getdewey.co/upload/337cd2c2a17f466bbef911d00abeb229.jpg,https://twitter.com/MuatafaGMI/,MuatafaGMI,https://twitter.com/MuatafaGMI/status/1689321770321420313,"It's OWN Decentralized
OWN decentralized
OWN https://t.co/ojF6T9mDLc","decentralization, ai_and_technology,new_tweet",,
"04:40 PM, Aug 09, 2023",DrJimFan,https://static.getdewey.co/upload/589af4e45c944793966480be1283585b.jpg,https://twitter.com/DrJimFan/,DrJimFan,https://twitter.com/DrJimFan/status/1689315683958652928,"The famed Stanford Smallville is officially open-source!

25 AI agents inhabit a digital Westworld, unaware that they are living in a simulation. They go to work, gossip, organize socials, make new friends, and even fall in love. Each has unique personality and backstory.… https://t.co/eL4s0iHHeM https://t.co/wMMEz5TvDy","entertainment, augmented_reality, ai_and_technology,new_tweet",,https://static.getdewey.co/upload/3f2a446377344257b23addccc5057735.jpg
"12:53 PM, Jul 04, 2023",swaaalla,https://static.getdewey.co/upload/38a40c75dcf1402e8b04e5a2748baa78.jpg,https://twitter.com/swaaalla/,swaaalla,https://twitter.com/swaaalla/status/1676212717785579520,This is how elliptic curves generate your wallet addresses. https://t.co/58sjnpulvD,"miscellaneous, ai_and_technology,new_tweet",,https://video.twimg.com/ext_tw_video/1676212381255606273/pu/vid/600x250/n3CiP38SB-mf3FUY.mp4?tag=12
"08:49 AM, Jul 03, 2023",krishnanrohit,https://static.getdewey.co/upload/cde1a264c0c04433b80279313533f711.jpg,https://twitter.com/krishnanrohit/,krishnanrohit,https://twitter.com/krishnanrohit/status/1675788894590124032,"Fascinating, I missed this when it happened. Turns out there are plenty of simple strategies that defeat the mighty AlphaGo, but are easily defeated by human amateurs, kind of revealing how it still doesn't quite understand what Go is.

https://t.co/lSDJYH3Tla","augmented_reality, ai_and_technology,new_tweet",,
"12:44 PM, Jun 19, 2023",nosilverv,https://static.getdewey.co/upload/86654668916844d0b003c448108cd8a2.jpg,https://twitter.com/nosilverv/,nosilverv,https://twitter.com/nosilverv/status/1670774662932963330,"GOD, YES, PHYSIOGNOMY WINS AGAIN, https://t.co/PauChl6TBe https://t.co/LfYkOqPzk9","ai_and_technology,new_tweet",,https://static.getdewey.co/upload/dc40e488d9644b5bb3febcb0373b569e.jpg
"03:33 PM, Jun 14, 2023",laralogan,https://static.getdewey.co/upload/918a49454b4246dcbd0ad1f6f5e982e4.jpg,https://twitter.com/laralogan/,laralogan,https://twitter.com/laralogan/status/1669005075950206977,"If A.I. can rewrite the Bible, it can rewrite the Koran,Torah etc &amp; anything else. So whoever controls A.I., controls it all. Does that sound like global power in the hands of a few? Hmm. A.I. Could Rewrite the Bible and Correct Religion, Says Prof/WEF https://t.co/hqNflwINOa","miscellaneous, ai_and_technology,new_tweet",,
"08:17 AM, Jun 09, 2023",mikko,https://static.getdewey.co/upload/b83bd79a0be54abe8dd503ff82b42229.jpg,https://twitter.com/mikko/,mikko,https://twitter.com/mikko/status/1667083452187803648,"U.S Air Force sent a satellite to space, and competing teams will try to hack it at @defcon this summer.

https://t.co/pdbyZ9oNjO","ai_and_technology,new_tweet",,
